GROUP,GROUP_TYPE,SUBJ,NUMB,SEQ,TITLE
Lower-Division Core,all,BA,101Z,,Intro to Business
Lower-Division Core,all,BA,211Z,,Prin Financial Actg
Lower-Division Core,all,BA,213Z,,Prin Managerial Actg
Lower-Division Core,all,EC,201Z,,Princ Microeconomics
Lower-Division Core,all,EC,202Z,,Princ Macroeconomics
Upper-Division Core,all,BA,308,,Leadership & Communic
Upper-Division Core,all,BA,322,,Fund of Sustain Bus
Upper-Division Core,all,BA,325,,Business Law & Ethics
Upper-Division Core,all,BA,453,,Bus Strategy & Plan
Upper-Division Core,all,FIN,311,,Ec Found Compet Analy
Upper-Division Core,all,FIN,316,,Financial Management
Upper-Division Core,all,MGMT,311,,Manage People in Org
Upper-Division Core,all,MKTG,311,,Mktg Management
Upper-Division Core,all,OBA,311,,Business Analytics I
Upper-Division Core,all,OBA,312,,Business Analytics II
Upper-Division Core,all,OBA,335,,Operations Management
