TERM,TERM_DESC,SUBJ,NUMB,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W
201501,Fall 2015,AA,404,10012,"Leahy, John F",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201501,Fall 2015,AA,408,10013,"Leahy, John F",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
201501,Fall 2015,AA,508,10015,"Leahy, John F",2,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16
201501,Fall 2015,AAA,408,16920,"Huette, Scott Edward",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18
201501,Fall 2015,AAA,408,16922,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
201501,Fall 2015,AAA,408,16924,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,22
201501,Fall 2015,AAA,408,16926,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
201501,Fall 2015,AAA,408,16928,"Guerra, Richard Stephen",0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,1,18
201501,Fall 2015,AAA,408,16931,"Guerra, Richard Stephen",0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,0,19
201501,Fall 2015,AAA,408,16935,"Grieger, Kristin Lynn Hunt",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,24
201501,Fall 2015,AAA,408,17007,"Ames Dionisio, Wendy Marie",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10
201501,Fall 2015,AAA,508,16921,"Huette, Scott Edward",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
201501,Fall 2015,AAA,508,16923,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201501,Fall 2015,AAA,508,16925,"Dellabough, Kassia ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3
201501,Fall 2015,AAA,508,16927,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6
201501,Fall 2015,AAA,508,16929,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201501,Fall 2015,AAA,508,16932,"Guerra, Richard Stephen",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201501,Fall 2015,AAA,508,17008,"Ames Dionisio, Wendy Marie",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3
201501,Fall 2015,AAAP,410,10028,"Sardell, Shannon Mical",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201501,Fall 2015,AAAP,410,16639,"Allsopp, Lauren Brook",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
201501,Fall 2015,AAAP,411,10029,"Carter, Elizabeth Jean",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5
201501,Fall 2015,AAAP,510,10033,"Sardell, Shannon Mical",0,10,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,17
201501,Fall 2015,AAAP,510,16640,"Allsopp, Lauren Brook",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9
201501,Fall 2015,AAAP,511,10034,"Carter, Elizabeth Jean",2,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,12
201501,Fall 2015,AAAP,606,10039,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
201501,Fall 2015,AAAP,606,17457,"Heath, Kingston W",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
